,País,N.º Juegos de verano,Oro,Plata,Bronce,Total_5,N.º Juegos de invierno,Oro,Plata,Bronce,Total_10,N° Juegos Total,Oro,Plata,Bronce,Total_15
0, Alemania (GER)[3][4],17,239,267,291,797,12,112,104,70,286,29,351,371,361,1083
1, Alemania Occidental (FRG)[3],5,56,67,81,204,7,11,15,13,39,12,67,82,94,243
2, Alemania Oriental (GDR)[3],5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
3, Armenia (ARM),7,2,8,8,18,7,0,0,0,0,14,2,8,8,18
4, Atletas Olímpicos de Rusia (OAR)[5],0,0,0,0,0,1,2,6,9,17,1,2,6,9,17
5, Austria (AUT),28,22,37,43,102,24,71,88,91,250,52,93,125,134,352
6, Azerbaiyán (AZE),7,7,14,28,49,6,0,0,0,0,13,7,14,28,49
7, Bélgica (BEL),27,46,57,63,166,21,2,2,4,8,48,48,59,67,174
8, Bielorrusia (BLR),7,13,30,42,85,7,8,7,5,20,14,21,37,47,105
9, Bohemia (BOH)[6],3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
10, Bulgaria (BUL),21,54,88,82,224,20,1,2,3,6,41,55,90,85,230
11, Checoslovaquia (TCH)[6],16,49,50,47,146,16,2,8,15,25,32,51,58,62,171
12, Chipre (CYP),11,0,1,0,1,12,0,0,0,0,23,0,1,0,1
13, Comité Olímpico de Rusia (ROC)[5],1,20,28,23,71,0,0,0,0,0,1,20,28,23,71
14, Croacia (CRO),8,14,13,14,41,8,4,6,1,11,16,18,19,15,53
15, Dinamarca (DEN),28,48,83,83,214,14,0,1,0,1,42,48,84,83,215
16, Equipo Unificado (EUN)[5],1,45,38,29,112,1,9,6,8,23,2,54,44,37,135
17, Eslovaquia (SVK),7,10,14,8,32,7,4,4,2,10,14,14,18,10,42
18, Eslovenia (SLO),8,8,9,11,28,8,4,8,12,24,16,12,17,23,52
19, España (ESP)[4],24,48,72,49,169,21,1,1,3,5,45,49,73,52,174
20, Estonia (EST),13,10,9,17,36,10,4,2,2,8,23,14,11,19,44
21, Finlandia (FIN),26,104,86,120,310,23,45,65,65,175,49,149,151,185,485
22, Francia (FRA)[4],29,231,256,285,772,24,41,42,55,138,53,272,298,340,910
23, Georgia (GEO),7,10,12,18,40,7,0,0,0,0,14,10,12,18,40
24, Grecia (GRE)[4],29,36,45,41,122,19,0,0,0,0,48,36,45,41,122
25, Hungría (HUN),27,182,156,177,515,23,2,2,6,10,50,184,158,183,525
26, Irlanda (IRL),22,11,11,16,38,9,0,0,0,0,31,11,11,16,38
27, Islandia (ISL),21,0,2,2,4,18,0,0,0,0,39,0,2,2,4
28, Israel (ISR),17,3,1,9,13,7,0,0,0,0,24,3,1,9,13
29, Italia (ITA),28,222,195,215,632,24,42,43,56,141,52,264,238,271,773
30, Kosovo (KOS),2,3,0,0,3,1,0,0,0,0,3,3,0,0,3
31, Letonia (LAT),12,4,11,6,21,11,1,3,6,10,23,5,14,12,31
32, Liechtenstein (LIE),18,0,0,0,0,19,2,2,6,10,37,2,2,6,10
33, Lituania (LTU),10,6,7,13,26,9,0,0,0,0,19,6,7,13,26
34, Luxemburgo (LUX),24,3,2,0,5,9,0,2,0,2,33,3,4,0,7
35, Macedonia del Norte (MKD),7,0,1,1,2,7,0,0,0,0,14,0,1,1,2
36, Moldavia (MDA),7,0,2,3,5,7,0,0,0,0,9,0,2,3,5
37, Montenegro (MON),4,0,1,0,1,3,0,0,0,0,7,0,1,0,1
38, Noruega (NOR),26,59,53,50,162,24,148,134,123,405,50,207,187,173,567
39, Países Bajos (NED)[4],27,98,106,125,329,21,53,49,45,147,48,151,155,170,476
40, Polonia (POL),23,75,91,140,306,23,7,7,9,23,46,82,98,149,329
41, Portugal (POR),25,5,9,14,28,8,0,0,0,0,33,5,9,14,28
42, Reino Unido (GBR),29,292,324,315,931,24,12,5,17,34,53,304,329,332,965
43, República Checa (CZE)[6],7,19,21,27,67,7,10,11,13,34,14,29,32,40,101
44, Rumania (ROU),22,90,97,121,308,21,0,0,1,1,43,90,97,122,309
45, Rusia (RUS)[5],9,148,130,153,431,6,46,39,35,120,15,194,169,188,551
46, San Marino (SMR),15,0,1,2,3,11,0,0,0,0,26,0,1,2,3
47, Serbia (SRB)[7],5,6,7,11,24,4,0,0,0,0,9,6,7,11,24
48, Serbia y Montenegro (SCG)[7],1,0,2,0,2,1,0,0,0,0,2,0,2,0,2
49, Suecia (SWE)[4],28,149,177,181,507,24,65,51,60,176,52,214,228,241,683
50, Suiza (SUI),29,56,84,73,213,24,63,47,58,168,53,119,131,131,381
51, Turquía (TUR),23,41,26,36,103,17,0,0,0,0,40,41,26,36,103
52, Ucrania (UKR),7,35,36,68,139,7,3,2,4,9,14,38,38,72,148
53, Unión Soviética (URS)[5],9,395,319,296,1010,9,78,57,59,194,18,473,376,355,1204
54, Yugoslavia (YUG)[7],18,26,29,28,83,16,0,3,1,4,34,26,32,29,87
